Cultivars,Irrigation,Yield
Cultivar1,50%,3800
Cultivar1,50%,3250
Cultivar1,50%,3450
Cultivar1,50%,3625
Cultivar1,50%,3200
Cultivar1,50%,3700
Cultivar1,50%,3450
Cultivar1,50%,3325
Cultivar1,50%,3400
Cultivar1,50%,3800
Cultivar1,50%,3800
Cultivar1,50%,3200
Cultivar1,50%,3150
Cultivar1,50%,3250
Cultivar1,50%,3300
Cultivar1,50%,3325
Cultivar1,50%,3550
Cultivar1,50%,3300
Cultivar1,50%,3150
Cultivar1,50%,3100
Cultivar1,75%,3500
Cultivar1,75%,3525
Cultivar1,75%,3950
Cultivar1,75%,3250
Cultivar1,75%,4150
Cultivar1,75%,3800
Cultivar1,75%,3700
Cultivar1,75%,3575
Cultivar1,75%,3700
Cultivar1,75%,3450
Cultivar1,75%,3600
Cultivar1,75%,2900
Cultivar1,75%,3300
Cultivar1,75%,3400
Cultivar1,75%,3700
Cultivar1,75%,3200
Cultivar1,75%,3350
Cultivar1,75%,3900
Cultivar1,75%,3850
Cultivar1,75%,2700
Cultivar1,100%,4500
Cultivar1,100%,4450
Cultivar1,100%,4550
Cultivar1,100%,4800
Cultivar1,100%,4400
Cultivar1,100%,4650
Cultivar1,100%,4650
Cultivar1,100%,4200
Cultivar1,100%,4150
Cultivar1,100%,4800
Cultivar1,100%,5000
Cultivar1,100%,4400
Cultivar1,100%,5000
Cultivar1,100%,4600
Cultivar1,100%,4700
Cultivar1,100%,5050
Cultivar1,100%,5150
Cultivar1,100%,4950
Cultivar1,100%,4350
Cultivar1,100%,3950
Cultivar2,50%,3750
Cultivar2,50%,3650
Cultivar2,50%,4675
Cultivar2,50%,3800
Cultivar2,50%,4400
Cultivar2,50%,4500
Cultivar2,50%,4200
Cultivar2,50%,3600
Cultivar2,50%,3950
Cultivar2,50%,3800
Cultivar2,50%,3550
Cultivar2,50%,3950
Cultivar2,50%,3900
Cultivar2,50%,3900
Cultivar2,50%,4150
Cultivar2,50%,3950
Cultivar2,50%,4650
Cultivar2,50%,3900
Cultivar2,50%,4400
Cultivar2,50%,4600
Cultivar2,75%,3900
Cultivar2,75%,3650
Cultivar2,75%,3725
Cultivar2,75%,3750
Cultivar2,75%,3700
Cultivar2,75%,3775
Cultivar2,75%,4050
Cultivar2,75%,4050
Cultivar2,75%,3300
Cultivar2,75%,4400
Cultivar2,75%,3400
Cultivar2,75%,3800
Cultivar2,75%,4150
Cultivar2,75%,3800
Cultivar2,75%,4550
Cultivar2,75%,4300
Cultivar2,75%,4100
Cultivar2,75%,3600
Cultivar2,75%,4800
Cultivar2,75%,4500
Cultivar2,75%,4100
Cultivar2,100%,5700
Cultivar2,100%,5700
Cultivar2,100%,5400
Cultivar2,100%,5200
Cultivar2,100%,5150
Cultivar2,100%,5550
Cultivar2,100%,5850
Cultivar2,100%,5850
Cultivar2,100%,6300
Cultivar2,100%,5350
Cultivar2,100%,5700
Cultivar2,100%,5050
Cultivar2,100%,5100
Cultivar2,100%,5650
Cultivar2,100%,5550
Cultivar2,100%,5250
Cultivar2,100%,6050
Cultivar2,100%,5400
Cultivar2,100%,5250
